Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes,disease_encoded,mealtype_encoded,diettype_encoded,cuisine_encoded,calories_scaled,protein_scaled,carbs_scaled,fats_scaled
Obesity,Breakfast,Roast Chicken with Herbs,Non-Vegetarian,Continental,380,33.8,48.3,25.2,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.,11,0,0,1,-0.16363138669195337,1.1308974792497861,-0.14052665651988946,1.3764672262588857
Celiac Disease,Lunch,Tofu Stir Fry,Vegetarian,Asian,333,21.4,72.9,21.5,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,2,3,0,-0.49526037320035776,-0.13872694630519744,0.9478806499096604,0.8581462375619753
Anemia,Breakfast,Roasted Veggie Bowl,Vegan,Continental,359,6.6,29.6,13.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,0,2,1,-0.3118060402382617,-1.6540851316450165,-0.9678931862041402,-0.23453044131259282
Heart Disease,Lunch,Salmon Teriyaki (light),Pescatarian,Asian,454,37.5,81.7,20.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,2,1,0,0.3585078686617046,1.5097370255847413,1.3372296050551902,0.7740941853408545
High Cholesterol,Lunch,Grilled Chicken Bowl with spinach,Non-Vegetarian,Mediterranean,173,24.1,85.7,4.0,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,2,0,3,-1.624210114505564,0.13772353345274285,1.5142064028486129,-1.5933719522207095
Obesity,Dinner,Mixed Vegetable Sambar,Vegan,Indian,496,13.1,35.6,13.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.,11,1,2,2,0.6548571757543212,-0.9885561988944204,-0.7024279895140063,-0.24853911668277956
Heart Disease,Lunch,Lentil Stew and mixed veggies,Vegan,Mediterranean,223,34.4,41.3,14.1,"lentils (moong/masoor), onion, tomato, turmeric, cumin, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health.",7,2,2,3,-1.2714133203476872,1.1923309191959952,-0.4502360526583791,-0.1784957398318457
Celiac Disease,Lunch,Grilled Halloumi Salad,Vegetarian,Continental,261,13.0,41.7,23.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,2,3,1,-1.0032877567877005,-0.9987951055521218,-0.4325383728790366,1.1243110695955238
Hypertension,Lunch,Fish Curry (light) and mixed veggies,Non-Vegetarian,Indian,539,26.6,70.5,10.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure.",9,2,0,2,0.9582624187300955,0.39369619989527993,0.8416945712336065,-0.6267733516778222
PCOS,Lunch,Mixed Vegetable Sambar with spinach,Vegan,Indian,643,21.5,12.6,23.1,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,2,2,2,1.6920797505784797,-0.12848803964749583,-1.7200445768261867,1.0822850434849638
Anemia,Breakfast,Rice Noodle Salad,Vegan,Asian,382,38.2,62.9,8.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,0,2,0,-0.14951951492563828,1.581409372188652,0.5054386554261033,-0.9349642098219313
Celiac Disease,Breakfast,Baked Cod with Herbs,Pescatarian,Continental,300,30.8,82.0,4.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,0,1,1,-0.7281062573445566,0.8237302795187421,1.3505028648896966,-1.5793632768505226
Depression/Anxiety,Lunch,Quinoa Salad,Vegetarian,Mediterranean,231,29.6,71.5,4.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,2,3,3,-1.214965833282427,0.7008633996263244,0.8859387706819621,-1.5233285753697756
Gastritis,Lunch,Rice Noodle Salad,Vegan,Asian,374,11.9,85.0,27.1,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,2,2,0,-0.20596700199089862,-1.111423078786838,1.4832354632347637,1.6426320582924345
Celiac Disease,Lunch,Tofu Stir Fry with quinoa,Vegetarian,Asian,316,19.7,41.1,24.0,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,2,3,0,-0.615211283214036,-0.3127883594861226,-0.45908489254805007,1.2083631218166446
High Cholesterol,Dinner,Vegetable Upma and mixed veggies,Vegetarian,Indian,177,31.0,23.3,13.2,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,1,3,2,-1.595986370972934,0.844208092834145,-1.246631642728781,-0.3045738181635267
Kidney Disease,Snack,Grilled Chicken Bowl with quinoa,Non-Vegetarian,Mediterranean,207,20.3,17.2,27.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,3,0,3,-1.384308294478208,-0.25135491953991357,-1.5165212593637507,1.656640733662621
GERD,Snack,Roast Chicken with Herbs and mixed veggies,Non-Vegetarian,Continental,620,36.7,22.0,19.4,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,0,1,1.5297932252658561,1.4278257723231298,-1.3041491020116434,0.563964054788053
Thyroid,Breakfast,Baked Cod with Herbs with herbs,Pescatarian,Continental,226,33.4,23.1,19.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,0,1,1,-1.2502455126982146,1.0899418526189804,-1.255480482618452,0.5779727301582399
Celiac Disease,Breakfast,Roasted Veggie Bowl light masala,Vegan,Continental,254,30.8,35.5,20.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,0,2,1,-1.0526793079698034,0.8237302795187421,-0.7068524094588419,0.760085509970668
GERD,Dinner,Tabbouleh with quinoa with quinoa,Vegan,Mediterranean,456,31.0,78.4,21.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,1,2,3,0.37261974042801965,0.844208092834145,1.1912237468756166,0.8861635883023488
Gastritis,Snack,Fish Curry (light) with spinach,Non-Vegetarian,Indian,587,33.0,24.6,11.1,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,3,0,2,1.2969473411216574,1.0489862259881746,-1.1891141834459187,-0.5987560009374489
High Cholesterol,Snack,Roasted Veggie Bowl,Vegan,Continental,578,39.0,43.6,27.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,3,2,1,1.2334439181732395,1.6633206254502635,-0.3484743939271609,1.740692785883742
GERD,Dinner,Vegetable Soup with herbs,Vegetarian,Continental,633,17.5,89.7,7.7,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,1,3,1,1.6215203917469043,-0.5380443059555551,1.6911832006420355,-1.0750509635237988
Thyroid,Snack,Vegetable Soup,Vegetarian,Continental,550,23.6,16.9,12.1,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,3,1,1.0358777134448285,0.08652900016423545,-1.5297945191982574,-0.4586692472355811
Fatty Liver,Breakfast,Quinoa Salad,Vegetarian,Mediterranean,584,9.8,54.9,10.4,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,0,3,3,1.2757795334721849,-1.3264401185985693,0.151485059839258,-0.6968167285287561
Depression/Anxiety,Dinner,Grilled Mackerel,Pescatarian,Asian,641,8.8,79.6,15.6,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,1,1,0,1.6779678788121646,-1.428829185175584,1.2443167862136428,0.03163439072095584
Anemia,Lunch,Grilled Chicken Bowl light masala,Non-Vegetarian,Mediterranean,429,26.4,23.8,24.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,2,0,3,0.18210947158276608,0.37321838657987666,-1.2245095430046031,1.2784064986675785
Kidney Disease,Breakfast,Steamed Fish with Ginger with spinach,Non-Vegetarian,Asian,508,11.6,61.5,18.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,0,0,0,0.7395284063522117,-1.1421397987599426,0.4434967761984055,0.43788597645637223
Depression/Anxiety,Lunch,Turkey Salad and mixed veggies,Non-Vegetarian,Continental,311,19.3,52.7,13.5,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals.",2,2,0,1,-0.6504909626298236,-0.35374398611692837,0.05414782105287572,-0.2625477920529663
GERD,Snack,Chicken and Broccoli Stir Fry light masala,Non-Vegetarian,Asian,522,24.9,36.3,26.1,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,0,0,0.8383115087164174,0.21963478671435444,-0.6714570499001575,1.502545304590567
High Cholesterol,Breakfast,Steamed Fish with spices with quinoa,Pescatarian,Indian,551,39.1,88.2,27.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,0,1,2,1.042933649327986,1.6735595321079653,1.624816901469502,1.6986667597731815
Anemia,Lunch,Baked Cod with Herbs light masala,Pescatarian,Continental,196,13.7,86.0,6.5,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,2,1,1,-1.4619235891929407,-0.9271227589482115,1.5274796626831193,-1.2431550679660401
Anemia,Breakfast,Baked Herb Salmon light masala,Non-Vegetarian,Mediterranean,549,17.1,61.7,16.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,0,0,3,1.0288217775616708,-0.578999932586361,0.4523456160880767,0.08766909220170298
Kidney Disease,Breakfast,Turkey Salad with spinach,Non-Vegetarian,Continental,437,31.3,47.4,4.8,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,0,0,1,0.23855695864802642,0.8749248128072495,-0.1803464360234095,-1.4813025492592151
Gastritis,Dinner,Vegetable Sushi Bowl,Vegetarian,Asian,290,9.8,48.4,17.6,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,1,3,0,-0.798665616176132,-1.3264401185985693,-0.13610223657505385,0.3118078981246915
Celiac Disease,Snack,Steamed Fish with Ginger with herbs,Non-Vegetarian,Asian,466,35.4,30.8,24.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction.",1,3,0,0,0.4431790992595951,1.29471998577301,-0.9148001468661136,1.236380472557018
GERD,Snack,Vegetable Soup light masala,Vegetarian,Continental,591,30.6,33.5,9.3,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux.",5,3,3,1,1.3251710846542877,0.8032524662033392,-0.7953408083555532,-0.8509121576008105
Kidney Disease,Dinner,Stuffed Peppers with spinach,Vegan,Continental,525,33.4,30.9,15.4,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.,10,1,2,1,0.8594793163658899,1.0899418526189804,-0.910375726921278,0.003617039980582404
High Cholesterol,Snack,Miso Soup with Greens,Vegetarian,Asian,470,34.5,41.3,16.0,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,3,3,0,0.4714028427922252,1.202569825853697,-0.4502360526583791,0.08766909220170298
Fatty Liver,Snack,Paneer Bhurji,Vegetarian,Indian,489,38.4,56.9,5.9,"paneer or halloumi, bell peppers, olive oil, spinach or greens","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.,4,3,3,2,0.6054656245722185,1.6018871855040546,0.23997345873596934,-1.3272071201871607
Gastritis,Lunch,Grilled Mackerel,Pescatarian,Asian,180,17.8,73.5,24.3,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,2,1,0,-1.5748185633234615,-0.5073275859824506,0.9744271695786735,1.250389147927205
High Cholesterol,Breakfast,Baked Cod with Herbs with quinoa,Pescatarian,Continental,172,27.4,37.7,10.3,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",High soluble fiber and lean proteins to reduce LDL cholesterol.,8,0,1,1,-1.6312660503887217,0.4756074531568915,-0.6095151706724593,-0.7108254038989428
Anemia,Breakfast,Stuffed Peppers,Vegan,Continental,336,18.0,87.3,9.9,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.,0,0,2,1,-0.47409256555088514,-0.4868497726670477,1.5849971219659815,-0.76686010537969
Gastritis,Breakfast,Grilled Mackerel,Pescatarian,Asian,242,13.1,72.1,16.7,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Soothing, low-acid, non-irritant foods; easily digestible preparations.",6,0,1,0,-1.1373505385676939,-0.9885561988944204,0.9124852903509753,0.18572981979301026
Thyroid,Snack,Chicken and Broccoli Stir Fry,Non-Vegetarian,Asian,330,18.0,54.0,23.1,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health.",13,3,0,0,-0.5164281808498303,-0.4868497726670477,0.11166528033573796,1.0822850434849638
PCOS,Dinner,Miso Soup with Greens and mixed veggies,Vegetarian,Asian,320,27.1,61.9,21.9,"mixed vegetables, low-sodium broth, herbs, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Sauté aromatics lightly in a bit of oil; add vegetables and low-sodium broth. 3) Simmer until vegetables are tender; season with herbs. 4) Blend partially or fully for a smooth texture if desired; serve warm.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,1,3,0,-0.5869875396814058,0.44489073318378736,0.46119445597774766,0.9141809390427222
PCOS,Dinner,Stuffed Peppers,Vegan,Continental,618,18.3,24.4,7.2,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.,12,1,2,1,1.5156813534995413,-0.45613305269394316,-1.1979630233355898,-1.145094340374733
